DELEGATE,GOVERNOR,FOR,AGAINST,ABSTAIN,VOTES,DELEGATE_POWER,PERCENT_QUORUM
0x8e8175f7be6044f90143b0bbc0c021eb2d484002,Arbitrum Treasury,6,5,"null",11,70710.861516465,0.0921554301
0x2ea5e9e452f85f55be47504153f25740a5f3d78a,Arbitrum Core,8,4,"null",12,69640.876760418,0.05445798933
0x2ea5e9e452f85f55be47504153f25740a5f3d78a,Arbitrum Treasury,9,6,"null",15,69640.876760418,0.09076094977
0x5162728cc4d7d111400056925a1b3df82308bee0,Arbitrum Treasury,1,"null","null",1,68570.541499942,0.08936601264
0xd92b50e95faa39fada60735432435e86eb936f0c,Arbitrum Treasury,5,"null","null",5,68311.261803264,0.08902810088
0xd92b50e95faa39fada60735432435e86eb936f0c,Arbitrum Core,2,"null","null",2,68311.261803264,0.0534182529
0xc8bdec0f09a4cf86d0245021bc0cae9ab24a2065,Arbitrum Treasury,"null",1,"null",1,67250,0.08764498892
0xc8bdec0f09a4cf86d0245021bc0cae9ab24a2065,Arbitrum Core,"null",1,"null",1,67250,0.05258836409
0xaafdd78af4f90ab649b94e5ef8430d27174a084c,Arbitrum Treasury,5,3,"null",8,66163.00027,0.08622833347
0xaafdd78af4f90ab649b94e5ef8430d27174a084c,Arbitrum Core,5,"null",2,7,66163.00027,0.05173834866
0xc3e8ac233f02d13c1e299e47ae230c205e0177ed,Arbitrum Treasury,10,3,2,15,64577.258392444,0.08416168173
0xc3e8ac233f02d13c1e299e47ae230c205e0177ed,Arbitrum Core,9,3,1,13,64577.258392444,0.0504983253
0x6cd08f886094b820b7f47ac1b8bbb841e4431757,Arbitrum Core,1,"null","null",1,61708.086884122,0.04825468164
0x6cd08f886094b820b7f47ac1b8bbb841e4431757,Arbitrum Treasury,2,"null","null",2,61708.086884122,0.08042237311
