TIMESPAN,VOTE_OPTION,VOTERS,CUMUL_VOTERS,VOTES,CUMUL_VOTES,VOTING_POWER,CUMUL_VOTING_POWER
2023-11-22 00:00:00.000,For,4315,297669,5682,402578,"null","null"
2023-11-23 00:00:00.000,Abstain,214,16322,244,17527,"null","null"
2023-11-23 00:00:00.000,Against,1494,36492,1718,41833,"null","null"
2023-11-23 00:00:00.000,For,4231,301900,6777,409355,"null","null"
2023-11-24 00:00:00.000,Abstain,180,16502,204,17731,"null","null"
2023-11-24 00:00:00.000,For,2209,304109,3667,413022,"null","null"
2023-11-24 00:00:00.000,Against,598,37090,690,42523,"null","null"
2023-11-25 00:00:00.000,For,2959,307068,4672,417694,"null","null"
2023-11-25 00:00:00.000,Abstain,176,16678,196,17927,"null","null"
2023-11-25 00:00:00.000,Against,646,37736,783,43306,"null","null"
2023-11-26 00:00:00.000,Abstain,189,16867,204,18131,"null","null"
2023-11-26 00:00:00.000,Against,715,38451,889,44195,"null","null"
2023-11-26 00:00:00.000,For,2435,309503,3839,421533,"null","null"
2023-11-27 00:00:00.000,Against,233,38684,261,44456,"null","null"
2023-11-27 00:00:00.000,Abstain,104,16971,126,18257,"null","null"
2023-11-27 00:00:00.000,For,1285,310788,1783,423316,"null","null"
2023-11-28 00:00:00.000,Abstain,77,17048,85,18342,"null","null"
2023-11-28 00:00:00.000,For,1053,311841,1755,425071,"null","null"
2023-11-28 00:00:00.000,Against,148,38832,177,44633,"null","null"
2023-11-29 00:00:00.000,For,658,312499,1074,426145,"null","null"
2023-11-29 00:00:00.000,Against,100,38932,120,44753,"null","null"
2023-11-29 00:00:00.000,Abstain,46,17094,50,18392,"null","null"
2023-11-30 00:00:00.000,Abstain,57,17151,59,18451,"null","null"
